Instructor,Learning Objectives,,,,,,
Gabor,Utilize basic scientific principles to describe controls of the hydrologic cycle on a watershed scale; Understand the relationship between water and the landscape and how the landscape drives watershed hydrologic functioning; Use multiple physical and chemical techniques to characterize the hydrology of a watershed; Utilize the scientific method and conduct data analyses to investigate the hydrologic functioning of watersheds; Describe some current areas of research in hydrologic sciences,,,,,,
Gabor,Understand the relationship between water and the landscape and how the landscape drives watershed hydrologic functioning; Use multiple physical and chemical techniques to characterize the hydrology of a watershed; Utilize the scientific method and conduct data analyses to investigate the hydrologic functioning of watersheds; Describe some current areas of research in hydrologic sciences,,,,,,
Gabor,Use multiple physical and chemical techniques to characterize the hydrology of a watershed; Utilize the scientific method and conduct data analyses to investigate the hydrologic functioning of watersheds; Describe some current areas of research in hydrologic sciences,,,,,,
Gabor,Utilize the scientific method and conduct data analyses to investigate the hydrologic functioning of watersheds; Describe some current areas of research in hydrologic sciences,,,,,,
Gabor,Describe some current areas of research in hydrologic sciences,,,,,,
Knowles,Understand the fundamental concepts of physical hydrology,,,,,,
Knowles,Apply quantitative methods to estimate hydrological storage and fluxes,,,,,,
Knowles,Apply statistical methods to analyze hydrological data and evaluate hydrologic events,,,,,,
Knowles,Predict hydrological impacts of climate and land use change,,,,,,
Knowles,Demonstrate proficiency with Microsoft Excel,,,,,,
Knowles,Improve scientific communication skills,,,,,,
Kumar,"After successful completion of this course, students will possess an in-depth knowledge of watershed hydrologic processes, their interactions, and the physical controls that govern their dynamics.",,,,,,
Kumar,Course participants will be prepared to address water quantity and quality issues arising from changes and variations in climate and physiography through quantitative analysis.,,,,,,
McGuire,"Explain the underlying physical principles involved in water movement through, from, and within watersheds;",,,,,,
McGuire,Use proper hydrological terminology and units;,,,,,,
McGuire,Conceptualize hydrological processes and the components of the hydrological cycle;,,,,,,
McGuire,Quantify the magnitudes and describe uncertainties of hydrological cycle components;,,,,,,
McGuire,Apply mass balance concepts related to hydrological problems;,,,,,,
McGuire,"Predict how fluxes of mass and energy are affected by changes in watershed and climatological characteristics such as vegetation, climate, geology, topography, soil, and land use;",,,,,,
McGuire,Evaluate broad-scale environmental issues from a hydrological perspective;,,,,,,
McGuire,Describe field and laboratory data collection methods used by hydrologists.,,,,,,
Mekonnen,"Understand and communicate the basic principles of water cycle processes (evapotranspiration, condensation, precipitation, runoff, stream flow, infiltration, groundwater flow),",,,,,,
Mekonnen,"Identify, formulate and solve engineering problems. Identify and calculate hydrological parameters for the design of hydraulic structures",,,,,,
Mekonnen,"Use techniques, skills and modern engineering tools to describe water flow and transport.",,,,,,
Wen,Describe the components of the global water cycle and how these are altered by human activity and climate change,,,,,,
Wen,"Articulate the connections between the atmosphere and the land surface in terms of the global energy budget, water budgets, and extreme events",,,,,,
Wen,Identify and communicate how topics discussed in this course are related to your life,,,,,,
Wen,"Analyze real world data to convert units, calculate water budgets and hydrologic statistics, and estimate hydrologic processes",,,,,,
Wemple,"Explain the importance of forests in the fluxes of water, sediments, and solutes through the landscape, drawing upon public policy reports and studies from Vermont, the Northeastern US, and globally.",,,,,,
Wemple,Conduct hydrologic and geomorphic field measurements in forested settings.,,,,,,
Wemple,Apply models and conduct calculations to quantify key hydrologic and geomorphic processes.,,,,,,
Wemple,"Prepare and present a consulting assessment, integrating scientific data collection, data analysis and visualization, and key restoration concepts explored in the course.",,,,,,
Wemple,"Students will also gain exposure through the course to a range of career pathways for those interested in water resources, conservation, and forest management.",,,,,,
Tsang,"Students demonstrate knowledge of ecological principles, and interdisciplinary aspects of natural resource and environmental management issues.",,,,,,
Tsang,Students can analyze and address natural resource and environmental management problems by using appropriate methods from natural science disciplines.,,,,,,
Tsang,"Students communicate effectively, both orally and in writing, to diverse audiences including professionals, resource managers, local communities and policy makers.",,,,,,
Tsang,Students are capable of conducting scientific research of professional quality in their specialization area.,,,,,,
Tsang,Understand the rainfall-runoff streamflow relationship,,,,,,
Tsang,Relate hydrologic information to land use management.,,,,,,
Tsang,"Understand impact of different watershed management on hydrology, water quality of the surface and groundwater resources, and flooding.",,,,,,
Tsang,State of the art tools that allow students to apply to their research,,,,,,
Ravi,N/A,,,,,,
McMillan,"Write the water balance in natural and managed watersheds, explaining each term, and critically evaluate water balance calculations for completeness and accuracy. Describe qualitative differences between water balance components in different parts of the globe.",,,,,,
McMillan,"Apply common equations and simple computer models to calculate hydrological quantities, including streamflow, runoff ratio, potential evapotranspiration, and water balance components. 3) Explain how to measure hydrological variables using common hydrological field equipment including rainfall, streamflow, water quality, infiltration, evaporation and soil moisture.",,,,,,
McMillan,"Analyze the causes of current trends in evaporation, rainfall, streamflow, floods and groundwater levels. 5) Analyze watershed data (e.g. maps, descriptions of vegetation and land use, graphs of flow/soil water measurements) to determine dominant water and nutrient transport pathways. Describe how water management interventions could be used to change these pathways.",,,,,,
McMillan,"Illustrate how human activities affect hydrological processes, river flow regimes, ecosystems, and water quality at local and global scales.",,,,,,
McMillan,Analyze a hydrological event or issue using multiple peer-reviewed source materials and present the results as a written report and an oral presentation.,,,,,,
Payn,Have command of core vocabulary and concepts. ,,,,,,
Payn,Understand major hydrologic processes and their controls. ,,,,,,
Payn,Be familiar with key measurement and estimation methods and their strengths and weaknesses.,,,,,,
Payn,Have a basic understanding of selected ways to characterize precipitation and stream flow statistically. (5) Appreciate the diversity of watersheds and the importance of hydrologic processes to a wide range of issues.,,,,,,
Merwade,"• Describe the hydrologic cycle, its components, and reservoirs;",,,,,,
Merwade,• Perform water balance of a hydrologic system;,,,,,,
Merwade,"Apply various hydrologic concepts to compute basic hydrologic fluxes such as infiltration, evapotranspiration, and streamflow",,,,,,
Merwade,Use MS Excel to perform hydrologic computations and plot hydrologic data;,,,,,,
Merwade,Perform flood frequency analysis to estimate design streamflow for any return period,,,,,,
Merwade,Simulate the hydrology of a watershed using HEC-HMS hydrology model;,,,,,,
Merwade,Use one dimensional HEC-RAS hydraulic model,,,,,,
Voter,Compare and contrast definitions of the field of ecohydrology,,,,,,
Voter,Calculate the water budget for a watershed given information about watershed characteristics and annual hydrologic flows. ,,,,,,
Voter,Develop a stochastic “bucket model” to describe soil moisture dynamics.,,,,,,
Voter,Experiment with and discuss how model parameterization impacts the soil moisture regime and overall water budget fluxes,,,,,,
Voter,Develop a model that simulates the formation of banded vegetation due to infiltration and overland flow processes. ,,,,,,
Voter,"Experiment with and discuss how vegetation patterning is impacted by precipitation, infiltration, and overland flow processes.",,,,,,
Voter,Simulate unsaturated flow in the vadose zone using Richards equation.,,,,,,
Voter,"Experiment with and discuss the influence of soil texture, boundary conditions, and root characteristics on water movement in the vadose zone.",,,,,,
Voter,Develop a model which calculates Penman-Montieth evapotranspiration.,,,,,,
Voter,Experiment with and discuss the influence of plant physiology and environmental conditions on water and energy balance patterns,,,,,,
Voter,Develop a model which calculates the groundwater component of ET using well hydrographs,,,,,,
Voter,Predict patterns of plant occurrence using information about hydrologic patterns,,,,,,
Voter,Find and recognize current research and seminal ecohydrologic literature,,,,,,
Voter,Critically analyze ecohydrologic literature,,,,,,
Voter,Effeciently digest and summarize journal articles,,,,,,
Voter,Effectively present and discuss technical material,,,,,,
Moore,understand key terms and concepts associated with the cycling of water and energy at and near the earth’s surface;,,,,,,
Moore,"understand how key hydrologic variables (e.g., precipitation, streamflow) are measured in both research and operational contexts",,,,,,
Moore,"understand the key sources of uncertainty in hydrologic variables, be able to apply standard approaches for propagating error through a series of calculations, and be able to incorporate calculated uncertainties into hydrologic inference",,,,,,
Moore,"be able to develop and apply water balance equations to systems of interest (e.g., catchments, lakes, wetlands)",,,,,,
Moore,"be able to deduce, from first principles, how changes in land cover and/or climatic conditions would influence hydrologic behavior at the site and catchment scales",,,,,,
Moore,"be able to apply a number of key analytical methods in hydrology (e.g., frequency analysis), with an understanding of the key assumptions underlying them and the ability to diagnose whether those assumptions are met in specific cases",,,,,,
Moore,"have gained experience in making systematic field observations, analysing real-world data sets, and report writing",,,,,,
Ross,Define and delineate the boundaries of watersheds and evaluate watershed resources and management practices in terms of long-term sustainability,,,,,,
Ross,"Identify the components of the hydrologic cycle, the forces that drive the cycle, and evaluate each component in relation to resources of watersheds.",,,,,,
Ross,Evaluate the water balance or water budget of a watershed,,,,,,
Ross,Assess watershed stressors in terms of impacts to resources of the watershed,,,,,,
Ross,"Discuss watershed resources, processes, and management in relation to economics, environmental justice, and social justice.",,,,,,
Ross,Connect watershed processes with basic concepts of water quality and ecology.,,,,,,
Ross,"Discuss watersheds in relation to human dimensions such as water law, water supply and demand, and water use in industry.",,,,,,
Ross,Identify goals and strategies for stream reach assessment and restoration.,,,,,,
Ryan,"Through classroom study, laboratory experiences and field work, build a comprehensive understanding of fresh
water in the Earth system from atmosphere and surface water to soil water and groundwater, including the ways in
which these reservoirs are interconnected.",,,,,,
Ryan,"Measure, understand, quantify, and model rates of change across geologic time, including how anthropogenic
activity is altering these rates.",,,,,,
Ryan,"Develop the skills needed to critically examine scientific literature and data, and the intellectual resourcefulness to
advance projects that deepen our understanding of complex systems.",,,,,,
Ryan,"Examine hydrologic systems by integrating ideas and approaches from multiple scientific and allied fields in
pursuit of solutions to resource management.",,,,,,
Ryan,"Conduct collaborative research founded in observation and enhanced by suitable analytical and modeling
techniques.",,,,,,
Ryan,"Communicate clearly using oral, written, and graphical approaches accessible to a wide variety of audiences, and
appropriately assess and communicate uncertainty.",,,,,,
Ryan,"Understand, respect and critically assess the diverse ways in which societies employ scientific knowledge in the
management of water resources.",,,,,,
